[PROBE]
"Digital High Pressure Dilatometer"

[PROJECT DETAILS]
"Contract name",Borehole,Easting,Northing,Elevation
,,,,

[TEST DETAILS]
"Test name","Test date","Depth (M)","Heading (deg)","Data Rate (secs)","Start Line","Stop Line",Material:
B0001T01,24/11/21," 36.70",290,10,1,254,Fels

[COMMENTS]
""

[CALIBRATION FACTORS]
Sensor,"Zero (mV)",Slope,Units,"Zero (kPa)","Slope (kPa/mm)","Compliance (mm/GPa)"
"Arm 1"," -2209.5","   126.1",mV/mm,361.0,11.2,"     1.0"
"Arm 2"," -2176.6","   129.1",mV/mm,361.0,11.2,"     1.0"
"Arm 3"," -2556.4","   131.8",mV/mm,361.0,11.2,"     1.0"
"Arm 4"," -1267.3","   126.7",mV/mm,361.0,11.2,"     1.0"
"Arm 5"," -2673.1","   131.0",mV/mm,361.0,11.2,"     1.0"
"Arm 6","  -838.9","   131.3",mV/mm,361.0,11.2,"     1.0"
"TPC A","   786.1","    69.9",mV/MPa
"TPC B"," -1422.7","    67.2",mV/MPa

[PROBE DIMENSIONS]
"Diameter over  probe","Diameter under membrane","CHL strip thickness"
" 95.00"," 82.00",1.0000

[COMPASS FACTORS (units in millivolts)]
Sensor,Minimum,Maximum
Sine,-2.5148,0.0378
Cosine,-0.8165,1.6079

[DATA IN ENGINEERING UNITS]
"Line No.","Arm 1","TPC 1","Arm 2","TPC 2","Arm 3","TPC 3","Arm 4","TPC 4","Arm 5","TPC 5","Arm 6","TPC 6",Sin,Cosine,"Arm Average","TPC Average"
,(mm),(kPa),(mm),(kPa),(mm),(kPa),(mm),(kPa),(mm),(kPa),(mm),(kPa),(V),(V),(mm),(kPa)
50,13.6417,1511.2,9.9913,1511.2,10.3696,1511.2,11.2277,1511.2,9.2523,1511.2,9.3847,1511.2,-1.8130,0.5954,10.6445,1511.2
51,13.6601,1505.3,10.0105,1505.3,10.3809,1505.3,11.2359,1505.3,9.2678,1505.3,9.4036,1505.3,-1.8130,0.5955,10.6598,1505.3
52,13.6733,1500.9,10.0254,1500.9,10.3900,1500.9,11.2440,1500.9,9.2811,1500.9,9.4196,1500.9,-1.8129,0.5952,10.6723,1500.9
53,13.6880,1506.4,10.0425,1506.4,10.4006,1506.4,11.2522,1506.4,9.2959,1506.4,9.4364,1506.4,-1.8129,0.5954,10.6859,1506.4
54,13.7020,1507.7,10.0575,1507.7,10.4112,1507.7,11.2610,1507.7,9.3099,1507.7,9.4525,1507.7,-1.8131,0.5954,10.6990,1507.7
55,13.7138,1510.5,10.0724,1510.5,10.4203,1510.5,11.2677,1510.5,9.3219,1510.5,9.4672,1510.5,-1.8133,0.5958,10.7105,1510.5
56,13.7263,1511.8,10.0846,1511.8,10.4295,1511.8,11.2758,1511.8,9.3338,1511.8,9.4811,1511.8,-1.8135,0.5956,10.7218,1511.8
57,13.7366,1514.5,10.0967,1514.5,10.4379,1514.5,11.2824,1514.5,9.3457,1514.5,9.4958,1514.5,-1.8135,0.5956,10.7325,1514.5
58,13.7469,1515.8,10.1081,1515.8,10.4457,1515.8,11.2898,1515.8,9.3570,1515.8,9.5084,1515.8,-1.8131,0.5957,10.7426,1515.8
59,13.7550,1512.9,10.1173,1512.9,10.4520,1512.9,11.2942,1512.9,9.3647,1512.9,9.5189,1512.9,-1.8131,0.5954,10.7504,1512.9
60,13.7623,1509.9,10.1245,1509.9,10.4569,1509.9,11.2972,1509.9,9.3724,1509.9,9.5272,1509.9,-1.8133,0.5960,10.7568,1509.9
61,13.7682,1507.0,10.1309,1507.0,10.4612,1507.0,11.3002,1507.0,9.3787,1507.0,9.5349,1507.0,-1.8135,0.5955,10.7624,1507.0
62,13.7734,1504.1,10.1366,1504.1,10.4654,1504.1,11.3032,1504.1,9.3844,1504.1,9.5419,1504.1,-1.8131,0.5961,10.7675,1504.1
63,13.7793,1504.0,10.1430,1504.0,10.4703,1504.0,11.3076,1504.0,9.3914,1504.0,9.5503,1504.0,-1.8131,0.5956,10.7737,1504.0
64,13.7867,1506.8,10.1509,1506.8,10.4759,1506.8,11.3113,1506.8,9.3991,1506.8,9.5580,1506.8,-1.8134,0.5960,10.7803,1506.8
65,13.7933,1511.0,10.1594,1511.0,10.4816,1511.0,11.3172,1511.0,9.4068,1511.0,9.5671,1511.0,-1.8131,0.5955,10.7876,1511.0
66,13.8021,1513.8,10.1687,1513.8,10.4879,1513.8,11.3231,1513.8,9.4159,1513.8,9.5769,1513.8,-1.8130,0.5955,10.7958,1513.8
67,13.8102,1519.4,10.1773,1519.4,10.4956,1519.4,11.3290,1519.4,9.4244,1519.4,9.5867,1519.4,-1.8130,0.5959,10.8038,1519.4
68,13.8183,1523.6,10.1865,1523.6,10.5027,1523.6,11.3356,1523.6,9.4342,1523.6,9.5965,1523.6,-1.8134,0.5958,10.8123,1523.6
69,13.8250,1523.6,10.1944,1523.6,10.5076,1523.6,11.3400,1523.6,9.4398,1523.6,9.6035,1523.6,-1.8130,0.5955,10.8184,1523.6
70,13.8301,1520.6,10.2001,1520.6,10.5118,1520.6,11.3429,1520.6,9.4455,1520.6,9.6098,1520.6,-1.8131,0.5955,10.8234,1520.6
71,13.8353,1519.2,10.2043,1519.2,10.5146,1519.2,11.3459,1519.2,9.4497,1519.2,9.6153,1519.2,-1.8132,0.5956,10.8275,1519.2
72,13.8397,1516.3,10.2086,1516.3,10.5182,1516.3,11.3474,1516.3,9.4539,1516.3,9.6202,1516.3,-1.8136,0.5954,10.8313,1516.3
73,13.8434,1513.4,10.2129,1513.4,10.5210,1513.4,11.3496,1513.4,9.4588,1513.4,9.6244,1513.4,-1.8133,0.5956,10.8350,1513.4
74,13.8463,1511.9,10.2172,1511.9,10.5238,1511.9,11.3511,1511.9,9.4623,1511.9,9.6286,1511.9,-1.8133,0.5959,10.8382,1511.9
75,13.8500,1509.0,10.2207,1509.0,10.5259,1509.0,11.3526,1509.0,9.4658,1509.0,9.6321,1509.0,-1.8132,0.5942,10.8412,1509.0
76,13.8522,1506.1,10.2236,1506.1,10.5280,1506.1,11.3541,1506.1,9.4693,1506.1,9.6363,1506.1,-1.8131,0.5940,10.8439,1506.1
77,13.8559,1504.6,10.2272,1504.6,10.5302,1504.6,11.3556,1504.6,9.4721,1504.6,9.6405,1504.6,-1.8131,0.5945,10.8469,1504.6
78,13.8581,1501.8,10.2293,1501.8,10.5316,1501.8,11.3564,1501.8,9.4743,1501.8,9.6419,1501.8,-1.8132,0.5943,10.8486,1501.8
79,13.8544,1463.2,10.2243,1463.2,10.5253,1463.2,11.3499,1463.2,9.4701,1463.2,9.6391,1463.2,-1.8129,0.5947,10.8438,1463.2
80,13.8500,1421.8,10.2180,1421.8,10.5177,1421.8,11.3426,1421.8,9.4645,1421.8,9.6356,1421.8,-1.8127,0.5945,10.8381,1421.8
81,13.8448,1384.6,10.2095,1384.6,10.5093,1384.6,11.3354,1384.6,9.4582,1384.6,9.6314,1384.6,-1.8128,0.5946,10.8314,1384.6
82,13.8382,1344.7,10.2009,1344.7,10.4996,1344.7,11.3267,1344.7,9.4505,1344.7,9.6258,1344.7,-1.8126,0.5945,10.8236,1344.7
83,13.8294,1307.6,10.1903,1307.6,10.4899,1307.6,11.3180,1307.6,9.4420,1307.6,9.6194,1307.6,-1.8129,0.5950,10.8148,1307.6
84,13.8205,1273.3,10.1789,1273.3,10.4787,1273.3,11.3092,1273.3,9.4322,1273.3,9.6131,1273.3,-1.8129,0.5946,10.8054,1273.3
85,13.8095,1236.3,10.1647,1236.3,10.4662,1236.3,11.2990,1236.3,9.4210,1236.3,9.6040,1236.3,-1.8129,0.5944,10.7941,1236.3
86,13.7941,1194.9,10.1462,1194.9,10.4501,1194.9,11.2859,1194.9,9.4077,1194.9,9.5934,1194.9,-1.8129,0.5945,10.7796,1194.9
87,13.7772,1153.6,10.1263,1153.6,10.4320,1153.6,11.2727,1153.6,9.3950,1153.6,9.5814,1153.6,-1.8124,0.5943,10.7641,1153.6
88,13.7589,1113.8,10.1043,1113.8,10.4131,1113.8,11.2574,1113.8,9.3802,1113.8,9.5688,1113.8,-1.8124,0.5947,10.7471,1113.8
89,13.7376,1073.9,10.0809,1073.9,10.3943,1073.9,11.2414,1073.9,9.3654,1073.9,9.5561,1073.9,-1.8124,0.5943,10.7293,1073.9
90,13.7164,1035.5,10.0567,1035.5,10.3740,1035.5,11.2246,1035.5,9.3506,1035.5,9.5427,1035.5,-1.8124,0.5946,10.7108,1035.5
91,13.6944,999.9,10.0319,999.9,10.3545,999.9,11.2078,999.9,9.3358,999.9,9.5286,999.9,-1.8128,0.5947,10.6922,999.9
92,13.6695,961.5,10.0042,961.5,10.3321,961.5,11.1874,961.5,9.3196,961.5,9.5138,961.5,-1.8129,0.5948,10.6711,961.5
93,13.6424,924.6,9.9736,924.6,10.3084,924.6,11.1669,924.6,9.3026,924.6,9.4983,924.6,-1.8125,0.5945,10.6487,924.6
94,13.6153,893.4,9.9445,893.4,10.2853,893.4,11.1465,893.4,9.2878,893.4,9.4834,893.4,-1.8125,0.5948,10.6271,893.4
95,13.5890,863.5,9.9161,863.5,10.2644,863.5,11.1283,863.5,9.2743,863.5,9.4707,863.5,-1.8131,0.5944,10.6071,863.5
96,13.5597,830.9,9.8835,830.9,10.2392,830.9,11.1064,830.9,9.2581,830.9,9.4545,830.9,-1.8126,0.5948,10.5836,830.9
97,13.5121,781.3,9.8317,781.3,10.1994,781.3,11.0714,781.3,9.2347,781.3,9.4291,781.3,-1.8127,0.5948,10.5464,781.3
98,13.4523,728.8,9.7700,728.8,10.1554,728.8,11.0349,728.8,9.2119,728.8,9.4042,728.8,-1.8126,0.5948,10.5048,728.8
99,13.4414,743.1,9.7636,743.1,10.1547,743.1,11.0369,743.1,9.2118,743.1,9.4049,743.1,-1.8127,0.5948,10.5022,743.1
